id	root	seyame	root_type
229	CT>ST>	0	parethesied
230	>CTWP	0	parethesied
231	>CTQDJ	0	normal
232	>T>	0	normal
233	>T>	0	normal
234	>TWN>	0	parethesied
235	>TMLJ	0	parethesied
236	>TN>	0	parethesied
237	>TNWS	0	bracketed
238	>TR	0	parethesied
239	B	0	normal
240	B>R	0	normal
241	B>C	0	normal
242	BBL	0	normal
243	BGN	0	normal
244	BD>	0	normal
245	BDQ	0	normal
246	BDR	0	normal
247	BHL	0	normal
248	BHR	0	parethesied
249	BHT	0	normal
250	BWLWV>	0	bracketed
251	BWY>	0	parethesied
252	BWR>	0	parethesied
253	BRK	0	normal
254	BWRSJ>	0	bracketed
255	BZ	0	normal
256	BZX	0	normal
257	BZ<	0	normal
258	BXR	0	normal
259	BVL	0	normal
260	BVN	0	normal
261	BJ>	0	normal
262	BJM	0	bracketed
263	BJNJ	0	parethesied
264	BJT-XSD>	0	normal
265	BJT-LXM	0	normal
266	BJT-NHRJN	1	normal
267	BJT-<NJ>	0	normal
268	BJT-PG">	1	normal
269	BJT-YJD>	0	normal
270	BT	0	parethesied
271	BK>	0	normal
272	BKR	0	normal
273	BL>	0	normal
274	BLM	0	normal
275	BLSVWS	0	bracketed
276	BL<	0	normal
277	BL<D	0	normal
278	BL<M	0	normal
279	BLY	0	normal
280	BLQ	0	normal
281	BN>	0	normal
282	BNJ-RGCJ	1	normal
283	BNJMJN	0	normal
284	BS>	0	normal
285	BSDJ>	0	normal
286	BSM	0	normal
287	BSR	0	normal
288	BSR	0	parethesied
289	BSTR	0	normal
290	B<>	0	normal
291	B<D	0	normal
292	B<WR	0	normal
293	B<Z	0	normal
294	B<V	0	normal
295	B<R	0	parethesied
296	B<L	0	normal
297	B<L	0	normal
298	B<LZBWB	0	normal
299	B<Q	0	normal
300	BY>	0	normal
301	BYR	0	normal
302	BQ>	0	parethesied
303	BQ>	0	normal
304	BQR	0	normal
305	BR->B>	0	normal
306	BR-VJMJ	0	normal
307	BR-JWN>	0	normal
308	BR-CB>	0	normal
309	BR-CB>	0	normal
310	BR-CWM>	0	normal
311	BR-TWLMJ	0	normal
312	BR	0	normal
313	BR	0	normal
314	BR>	0	normal
315	BRBRJ>	0	bracketed
316	BRD>	0	parethesied
317	BRW>>	0	normal
318	BRWL>	0	parethesied
319	BR	0	parethesied
320	BR	0	parethesied
321	BRKJ>	0	normal
322	BRM	0	normal
323	BRNB>	0	normal
324	BRNJQ>	0	normal
325	BRQ	0	normal
326	BRQ	0	normal
327	BTL	0	parethesied
328	BTWNJ>	0	bracketed
329	G>>	0	normal
330	G>JWS	0	normal
331	G>LJWN	0	normal
332	G>R>	0	parethesied
333	GB>	0	normal
334	GBJN>	0	parethesied
335	GBL	0	normal
336	GBR	0	normal
337	GBRJ>JL	0	normal
338	GGWLT>	0	normal
339	GGR	0	parethesied
340	GD	0	normal
341	GD	0	normal
342	GDJ>	0	parethesied
343	GDL	0	normal
344	GDSMN	0	normal
345	GD<WN	0	normal
346	GDP	0	normal
347	GDR>	0	normal
348	GDC	0	normal
349	GHN	0	normal
350	GHN>	0	parethesied
351	GW	0	normal
352	GWG	0	normal
353	GZ	0	parethesied
354	GZL	0	parethesied
355	GMY	0	normal
356	GWS	0	normal
357	G<L	0	normal
358	GR	0	parethesied
359	GCM	0	normal
360	GZ	0	normal
361	GZ>	0	normal
362	GZ>	0	parethesied
363	GZM	0	normal
364	GZR	0	normal
365	GXK	0	normal
366	GGL	0	parethesied
367	GJS	0	parethesied
368	GJR	0	bracketed
369	GL	0	normal
370	GL	0	normal
371	GL	0	normal
372	GL>	0	normal
373	GLD	0	normal
374	GLWSQM>	0	bracketed
375	GLZ	0	normal
376	GLVJ>	0	bracketed
377	GLJL>	0	normal
378	GLP	0	normal
379	GML>	0	parethesied
380	GMLJ>JL	0	normal
381	GMR	0	normal
382	GN>	0	normal
383	GN>	0	normal
384	GNB	0	normal
385	GB>	0	parethesied
386	GNX	0	normal
387	GNZ	0	normal
388	GNS>	0	parethesied
389	GNSR	0	normal
390	GN	0	parethesied
391	GSR	0	normal
392	G<>	0	normal
393	G<R	0	normal
394	GP	0	normal
395	GPJPT>	0	normal
396	GPN	0	parethesied
397	GR	0	normal
398	GR>	0	normal
399	GRB	0	normal
400	GRB>	0	parethesied
401	GRBJ>	0	parethesied
402	GRG	0	normal
403	GRJYT>	0	parethesied
404	GRM	0	normal
405	GRM	0	parethesied
406	GR<	0	normal
407	GRC	0	normal
408	GC	0	normal
409	D>B>	0	parethesied
410	D>M>	0	normal
411	DB>	0	parethesied
412	DBX	0	normal
413	DBQ	0	normal
414	DBR	0	normal
415	DBC	0	parethesied
416	DGL	0	normal
417	DD>	0	parethesied
418	DHB	0	normal
419	DW>	0	normal
420	DWD	0	normal
421	DWJD	0	normal
422	DWK	0	parethesied
423	DWL	0	parethesied
424	DWMS>	0	bracketed
425	DNB	0	parethesied
426	D<T	0	parethesied
427	DY	0	parethesied
428	DQ	0	parethesied
429	DC	0	parethesied
430	DX>	0	normal
431	DXL	0	normal
432	DXQ	0	normal
433	DXC>	0	parethesied
434	DJW>	0	parethesied
435	DJWVRPJS	0	normal
436	DJT>	0	parethesied
437	DJL	0	normal
438	DJN	0	normal
439	DN	0	parethesied
440	DJNWSJWS	0	normal
441	DJNR>	0	bracketed
442	DJTJQ>	0	bracketed
443	DK>	0	normal
444	DKR	0	normal
445	DKR	0	parethesied
446	DL	0	normal
447	DL>	0	normal
448	DLX	0	normal
449	DL	0	normal
450	DLMVJ>	0	normal
451	DLMNWT>	0	normal
452	DLQ	0	normal
453	DM	0	normal
454	DM	0	normal
455	DM>	0	normal
456	DMVRJWS	0	normal
457	DMK	0	normal
458	DM<	0	normal
459	DMR	0	normal
460	DMRJS	0	normal
461	DN>	0	normal
462	DNX	0	normal
463	DNJ>JL	0	normal
464	D<K	0	normal
465	D<R	0	normal
466	DP>	0	parethesied
467	DPN>	0	parethesied
468	DQ	0	normal
469	DQL>	0	parethesied
470	DQR	0	normal
471	DR	0	parethesied
472	DR>	0	normal
473	DRB>	0	normal
474	DRG	0	parethesied
475	DRDR>	0	parethesied
476	DRWSL>	0	normal
477	DRK	0	normal
478	DRMSWQ	0	bracketed
479	DR<>	0	parethesied
480	DRC	0	normal
481	H>	0	normal
482	HBJL	0	normal
483	HB	0	parethesied
484	HG>	0	normal
485	HGM	0	normal
