lexemesId	meaning	before	after	comment	ignore	verb_type	number	gender
91	which				0	n/a	n/a	n/a
	who	he		(w/ *D*)	0	n/a	n/a	n/a
92	Jason				0	n/a	n/a	n/a
93	Isaac				0	n/a	n/a	n/a
94	Issachar				0	n/a	n/a	n/a
95	Israel				0	n/a	n/a	n/a
96	Israelite				0	n/a	n/a	n/a
97	vain	in			0	n/a	n/a	n/a
97	cause	without			0	n/a	n/a	n/a
98	Iconium				0	n/a	n/a	n/a
99	Hierapolis				0	n/a	n/a	n/a
100	Jericho				0	n/a	n/a	n/a
101	Jesse				0	n/a	n/a	n/a
102	is				0	n/a	n/a	n/a
102	are				0	n/a	n/a	n/a
	some...others			(*A;T D__OA;T*)	0	n/a	n/a	n/a
103	substance				0	n/a	n/a	n/a
103	essence				0	n/a	n/a	n/a
104	Achaia				0	n/a	n/a	n/a
105	Achaicus				0	n/a	n/a	n/a
106	viper				0	n/a	n/a	n/a
107	like as				0	n/a	n/a	n/a
108	as				0	n/a	n/a	n/a
108	just as				0	n/a	n/a	n/a
109	as one				0	n/a	n/a	n/a
109	together				0	n/a	n/a	n/a
110	Achim				0	n/a	n/a	n/a
111	gluttonous				0	n/a	n/a	n/a
112	eat				0	n/a	n/a	n/a
112	consume				0	n/a	n/a	n/a
112	accuse			w/ &XaR/oA&	0	n/a	n/a	n/a
112	feed				0	n/a	n/a	n/a
113	accuser				0	n/a	n/a	n/a
113	calumniator				0	n/a	n/a	n/a
3470	stade		(measure of length - 192 		0	n/a	n/a	n/a
115	weevil				0	n/a	n/a	n/a
116	food				0	n/a	n/a	n/a
117	accusation				0	n/a	n/a	n/a
118	food				0	n/a	n/a	n/a
119	crowd				0	n/a	n/a	n/a
119	multitude				0	n/a	n/a	n/a
120	black				0	n/a	n/a	n/a
121	black	make			0	n/a	n/a	n/a
122	guest				0	n/a	n/a	n/a
122	stranger				0	n/a	n/a	n/a
123	sedulously				0	n/a	n/a	n/a
123	diligently				0	n/a	n/a	n/a
124	care	take			0	n/a	n/a	n/a
124	careful				0	n/a	n/a	n/a
125	ploughman				0	n/a	n/a	n/a
125	husbandman				0	n/a	n/a	n/a
126	anger				0	n/a	n/a	n/a
126	enmity				0	n/a	n/a	n/a
127	but				0	n/a	n/a	n/a
127	but rather				0	n/a	n/a	n/a
128	howl				0	n/a	n/a	n/a
128	lament aloud				0	n/a	n/a	n/a
128	wail				0	n/a	n/a	n/a
	yell	a			0	n/a	n/a	n/a
129	wail				0	n/a	n/a	n/a
129	lamentation	cry of			0	n/a	n/a	n/a
130	God				0	n/a	n/a	n/a
130	god	a			0	n/a	n/a	n/a
131	Godhead				0	n/a	n/a	n/a
131	divinity				0	n/a	n/a	n/a
132	divine				0	n/a	n/a	n/a
133	goddess				0	n/a	n/a	n/a
134	if				0	n/a	n/a	n/a
135	Elymas				0	n/a	n/a	n/a
136	Olympas				0	n/a	n/a	n/a
137	Illyricum				0	n/a	n/a	n/a
138	Elijah				0	n/a	n/a	n/a
139	Eliud				0	n/a	n/a	n/a
140	Eleazar				0	n/a	n/a	n/a
141	Eliezer				0	n/a	n/a	n/a
142	Eliakim				0	n/a	n/a	n/a
143	Elizabeth				0	n/a	n/a	n/a
144	Elisha		(Elisaeus)		0	n/a	n/a	n/a
145	Alexander				0	n/a	n/a	n/a
146	Alexandria		(in Egypt)		0	n/a	n/a	n/a
147	Alexandrian				0	n/a	n/a	n/a
148	Elmadam				0	n/a	n/a	n/a
149	Alans		(Elamites)		0	n/a	n/a	n/a
150	Beginning	the			0	n/a	n/a	n/a
150	Olaph	the letter			0	n/a	n/a	n/a
151	thousand				0	n/a	n/a	n/a
152	ship				0	n/a	n/a	n/a
152	boat				0	n/a	n/a	n/a
153	mariner				0	n/a	n/a	n/a
154	oppression				0	n/a	n/a	n/a
154	affliction				0	n/a	n/a	n/a
154	tribulation				0	n/a	n/a	n/a
155	oppressor				0	n/a	n/a	n/a
156	urgent				0	n/a	n/a	n/a
156	narrow				0	n/a	n/a	n/a
156	strait				0	n/a	n/a	n/a
156	afflicted				0	n/a	n/a	n/a
156	requisite				0	n/a	n/a	n/a
157	urge				0	n/a	n/a	n/a
157	constrain				0	n/a	n/a	n/a
	besiege				0	n/a	n/a	n/a
158	people				0	n/a	n/a	n/a
158	nation				0	n/a	n/a	n/a
159	mother				0	n/a	n/a	n/a
160	Amon				0	n/a	n/a	n/a
161	amethyst				0	n/a	n/a	n/a
162	Amen				0	n/a	n/a	n/a
162	verily				0	n/a	n/a	n/a
	steadfast				1	n/a	n/a	n/a
	sure				1	n/a	n/a	n/a
163	constant				0	n/a	n/a	n/a
164	assiduously				0	n/a	n/a	n/a
164	constantly				0	n/a	n/a	n/a
	constant	be			0	n/a	n/a	n/a
	firm	be			0	n/a	n/a	n/a
165	believe				0	n/a	n/a	n/a
165	trust		in		0	n/a	n/a	n/a
166	faith				0	n/a	n/a	n/a
166	belief				0	n/a	n/a	n/a
167	eunuch				0	n/a	n/a	n/a
168	believer				0	n/a	n/a	n/a
168	believing				0	n/a	n/a	n/a
169	Amphipolis				0	n/a	n/a	n/a
170	Amplias or Ampliatus				0	n/a	n/a	n/a
171	say				0	n/a	n/a	n/a
171	speak				0	n/a	n/a	n/a
	think				0	n/a	n/a	n/a
171	announce				0	n/a	n/a	n/a
	command				0	n/a	n/a	n/a
171	affirm				0	n/a	n/a	n/a
	foretell				0	n/a	n/a	n/a
172	lamb				0	n/a	n/a	n/a
172	sheep	young			0	n/a	n/a	n/a
173	cubit				0	n/a	n/a	n/a
174	handmaid				0	n/a	n/a	n/a
174	servant	female bond-			0	n/a	n/a	n/a
175	when?				0	n/a	n/a	n/a
176	if				0	n/a	n/a	n/a
177	but if				0	n/a	n/a	n/a
178	I				0	n/a	n/a	n/a
179	Onesiphorus				0	n/a	n/a	n/a
180	Andrew				0	n/a	n/a	n/a
181	Andronicus				0	n/a	n/a	n/a
182	Enosh				0	n/a	n/a	n/a
183	groan				1	n/a	n/a	n/a
183	sigh deeply				0	n/a	n/a	n/a
183	murmur				0	n/a	n/a	n/a
184	groaning				0	n/a	n/a	n/a
185	Antioch of Syria				0	n/a	n/a	n/a
186	Antiochene				0	n/a	n/a	n/a
187	Antioch of Pisidia				0	n/a	n/a	n/a
188	antichrist				0	n/a	n/a	n/a
189	Antipatris				0	n/a	n/a	n/a
190	Aeneas				0	n/a	n/a	n/a
191	necessity				0	n/a	n/a	n/a
192	anxiety				0	n/a	n/a	n/a
192	distress				0	n/a	n/a	n/a
193	compel				0	n/a	n/a	n/a
194	Onesimus				0	n/a	n/a	n/a
195	man				0	n/a	n/a	n/a
195	mankind				0	n/a	n/a	n/a
196	humanity				0	n/a	n/a	n/a
196	mankind				0	n/a	n/a	n/a
197	thou				0	n/a	n/a	n/a
198	proconsul				0	n/a	n/a	n/a
199	woman				0	n/a	n/a	n/a
199	wife				0	n/a	n/a	n/a
200	Asa				0	n/a	n/a	n/a
201	pillows				0	n/a	n/a	n/a
202	glutton				0	n/a	n/a	n/a
202	prodigal				0	n/a	n/a	n/a
	surfeiting				0	n/a	n/a	n/a
203	luxury				0	n/a	n/a	n/a
203	profligacy				0	n/a	n/a	n/a
204	Asyncritus				0	n/a	n/a	n/a
205	stadium				0	n/a	n/a	n/a
206	portico				0	n/a	n/a	n/a
206	arcade				0	n/a	n/a	n/a
207	Stoics				0	n/a	n/a	n/a
208	element				0	n/a	n/a	n/a
208	body	heavenly			0	n/a	n/a	n/a
209	stomach				0	n/a	n/a	n/a
