lexemesId	cons	voc	seyame	ignore	enclitic	isLexeme	rest	suffix_gender	suffix_person	suffix_number	suffix_contraction	prefix_code	gender	person	number	state	aspect	verbal_conjugation
710	DLJ>	D^ALJA>	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	f	2	s	n/a	active_participle	peal
3053	DTR<JT>	D^T#@R<JAT#A>	1	0	0	0	2	c/n/a	n/a	s/n/a	n/a	2	f	n/a	p	emphatic	n/a	n/a
2984	DRM>	D^RAMA>	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	f	n/a	s	absolute	n/a	n/a
712	DDLX	D^D#AL@X	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	1	s	n/a	active_participle	peal
712	DDLX	D^D#AL@X	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	2	s	n/a	active_participle	peal
712	DDLXJN	D^D#ALXIJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	1	p	n/a	active_participle	peal
712	DDLXJN	D^D#ALXIJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	2	p	n/a	active_participle	peal
712	MDLXJN	MD#@LXIJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	1	p	n/a	active_participle	pael
712	MDLXJN	MD#@LXIJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	2	p	n/a	active_participle	pael
712	DLX	D^AL@X	0	0	0	0	2	c/n/a	n/a	s/n/a	n/a	0	m	1	s	n/a	active_participle	peal
712	DLX	D^AL@X	0	0	0	0	2	c/n/a	n/a	s/n/a	n/a	0	m	2	s	n/a	active_participle	peal
712	DLXJN	D^ALXIJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	1	p	n/a	active_participle	peal
712	DLXJN	D^ALXIJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	2	p	n/a	active_participle	peal
716	DDLQ	D^D#ALEQ	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	1	s	n/a	active_participle	peal
716	DDLQ	D^D#ALEQ	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	2	s	n/a	active_participle	peal
716	DLQ	D^ALEQ	0	0	0	0	2	c/n/a	n/a	s/n/a	n/a	0	m	1	s	n/a	active_participle	peal
716	DLQ	D^ALEQ	0	0	0	0	2	c/n/a	n/a	s/n/a	n/a	0	m	2	s	n/a	active_participle	peal
721	DMTDMJN	D^MET^D^@MEJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	1	p	n/a	participles	ethpael
721	DMTDMJN	D^MET^D^@MEJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	2	p	n/a	participles	ethpael
721	WMDMJN	W@MD#@MEJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	3	m	1	p	n/a	active_participle	pael
721	WMDMJN	W@MD#@MEJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	3	m	2	p	n/a	active_participle	pael
721	MTDM>	MET^D^@ME>	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	1	s	n/a	participles	ethpael
721	MTDM>	MET^D^@ME>	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	2	s	n/a	participles	ethpael
721	MTDMJN	MET^D^@MEJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	1	p	n/a	participles	ethpael
721	MTDMJN	MET^D^@MEJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	2	p	n/a	participles	ethpael
721	MDMJN	MD#@MEJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	1	p	n/a	active_participle	pael
721	MDMJN	MD#@MEJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	2	p	n/a	active_participle	pael
880	ZKJJN	Z@K^AJIJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	n/a	p	absolute	n/a	n/a
878	ZKW	ZK#@W	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	2	p	n/a	imperative	peal
878	DZKT	D^ZAK#@T	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	f	3	s	n/a	perfect	peal
878	ZKT	ZAK#@T	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	f	3	s	n/a	perfect	peal
878	DZKJTWN	D^@ZK#@JT^UWN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	2	p	n/a	perfect	peal
721	DDMJN	D^D#AMEJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	2	p	n/a	active_participle	peal
868	NZJ<	NZIJ<	0	0	0	0	2	c/n/a	n/a	s/n/a	n/a	0	m	3	s	n/a	imperfect	aphel
862	ZWDW	Z@WED#W	0	0	0	0	1	c/n/a	1	s/n/a	n/a	0	m	3	p	n/a	perfect	pael
857	ZHR	ZHR	0	0	0	1	2	c/n/a	n/a	s/n/a	n/a	0	m	3	p	n/a	perfect	peal
851	WLZDQT>	W@LZED#QAT#A>	1	0	0	0	1	c/n/a	n/a	s/n/a	n/a	11	f	n/a	p	emphatic	n/a	n/a
851	WZDQT>	WZED#QAT#A>	1	0	0	0	1	c/n/a	n/a	s/n/a	n/a	3	f	n/a	p	emphatic	n/a	n/a
721	DMJN	D^AMEJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	2	p	n/a	active_participle	peal
848	DNZDQ	D^@NZ@D^EQ	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	3	s	n/a	imperfect	pael
848	ZDQ	ZDQ	0	0	0	1	2	c/n/a	n/a	s/n/a	n/a	0	m	3	s	n/a	perfect	peal
839	BZBN>	B^Z@B#NE>	1	0	0	0	1	c/n/a	n/a	s/n/a	n/a	1	m	n/a	p	emphatic	n/a	n/a
838	WZBNW	WZ@B^ENW	0	0	0	0	74	c/n/a	n/a	s/n/a	n/a	3	m	3	p	n/a	perfect	pael
838	WZBN	WZ@B^EN	0	0	0	0	2	c/n/a	n/a	s/n/a	n/a	3	m	3	s	n/a	perfect	pael
838	ZBNT	ZB#@NT^	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	2	s	n/a	perfect	peal
512	WGDWD>	WG#@D^UWD#E>	1	0	0	0	2	c/n/a	n/a	s/n/a	n/a	3	m	n/a	p	emphatic	n/a	n/a
526	WBGW	W^@B#G#@W	0	0	0	1	1	c/n/a	n/a	s/n/a	n/a	3	n/a	n/a	n/a	n/a	n/a	n/a
526	DBGW	D^@B#G#@W	0	0	0	1	1	c/n/a	n/a	s/n/a	n/a	2	n/a	n/a	n/a	n/a	n/a	n/a
569	GLJ>	G^@LJA>	0	0	0	1	1	c/n/a	n/a	s/n/a	n/a	0	m	n/a	s	emphatic	n/a	n/a
921	D>XB	D^@>XEB#	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	3	s	n/a	perfect	aphel
726	DDMKJN	D^D#AMK^IJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	1	p	n/a	active_participle	peal
726	DDMKJN	D^D#AMK^IJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	2	p	n/a	active_participle	peal
726	DMJK	D^@MIJK#	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	1	s	n/a	passive_participle	peal
726	DMJK	D^@MIJK#	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	2	s	n/a	passive_participle	peal
468	DBRT>	D^B#@RT#A>	0	0	0	1	1	c/n/a	n/a	s/n/a	n/a	2	f	n/a	s	emphatic	n/a	n/a
460	BR>	B^@RA>	0	0	0	1	1	c/n/a	n/a	s/n/a	n/a	0	m	n/a	s	emphatic	n/a	n/a
380	WBJNJ	WB#@JN@J	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	3	n/a	n/a	n/a	n/a	n/a	n/a
726	DMK>	D^@MK^A>	0	0	0	0	2	c/n/a	n/a	s/n/a	n/a	0	f	1	s	n/a	active_participle	peal
726	DMK>	D^@MK^A>	0	0	0	0	2	c/n/a	n/a	s/n/a	n/a	0	f	2	s	n/a	active_participle	peal
726	DMKJN	D^@MK^IJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	1	p	n/a	active_participle	peal
726	DMKJN	D^@MK^IJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	2	p	n/a	active_participle	peal
726	DMKJNN	D^@MK^IJN@N	0	0	0	0	1	c/n/a	1	p	contraction	0	m	2	p	n/a	active_participle	peal
726	DMKJNN	D^@MK^IJN@N	0	0	0	0	1	c/n/a	1	p	contraction	0	m	3	p	n/a	active_participle	peal
790	WLHJKL>	W@LH@JK^LA>	0	0	0	1	1	c/n/a	n/a	s/n/a	n/a	11	m	n/a	s	emphatic	n/a	n/a
778	BHDM>	B^H@D^AME>	1	0	0	0	1	c/n/a	n/a	s/n/a	n/a	1	m	n/a	p	emphatic	n/a	n/a
770	WHBB>	WH@B^AB#A>	0	0	0	1	1	c/n/a	n/a	s/n/a	n/a	3	m	n/a	s	emphatic	n/a	n/a
730	WMTDMR	WMET^D^@M@R	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	3	m	1	s	n/a	participles	ethpael
730	WMTDMR	WMET^D^@M@R	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	3	m	2	s	n/a	participles	ethpael
730	WMTDMRJN	WMET^D^@MRIJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	3	m	1	p	n/a	participles	ethpael
730	WMTDMRJN	WMET^D^@MRIJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	3	m	2	p	n/a	participles	ethpael
730	MTDMR	MET^D^@M@R	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	1	s	n/a	participles	ethpael
730	MTDMR	MET^D^@M@R	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	2	s	n/a	participles	ethpael
730	MTDMRJN	MET^D^@MRIJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	1	p	n/a	participles	ethpael
730	MTDMRJN	MET^D^@MRIJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	2	p	n/a	participles	ethpael
733	DMTDN>	D^MET^D^NE>	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	1	s	n/a	participles	ethpeal
733	DMTDN>	D^MET^D^NE>	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	2	s	n/a	participles	ethpeal
733	WMTDNJN	WMET^D^NEJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	3	m	1	p	n/a	participles	ethpeal
733	WMTDNJN	WMET^D^NEJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	3	m	2	p	n/a	participles	ethpeal
733	MTDN>	MET^D^NE>	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	1	s	n/a	participles	ethpeal
733	MTDN>	MET^D^NE>	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	2	s	n/a	participles	ethpeal
733	MTDNJN	MET^D^NEJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	1	p	n/a	participles	ethpeal
733	MTDNJN	MET^D^NEJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	2	p	n/a	participles	ethpeal
734	DDNX>	D^D#ANXA>	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	f	1	s	n/a	active_participle	peal
734	DDNX>	D^D#ANXA>	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	f	2	s	n/a	active_participle	peal
734	DMDNX	D^M@D#N@X	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	1	s	n/a	active_participle	aphel
734	DMDNX	D^M@D#N@X	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	2	s	n/a	active_participle	aphel
734	DNX	D^AN@X	0	0	0	0	2	c/n/a	n/a	s/n/a	n/a	0	m	1	s	n/a	active_participle	peal
734	DNX	D^AN@X	0	0	0	0	2	c/n/a	n/a	s/n/a	n/a	0	m	2	s	n/a	active_participle	peal
734	DNX>	D^ANXA>	0	0	0	0	5	c/n/a	n/a	s/n/a	n/a	0	f	1	s	n/a	active_participle	peal
734	DNX>	D^ANXA>	0	0	0	0	5	c/n/a	n/a	s/n/a	n/a	0	f	2	s	n/a	active_participle	peal
734	MDNX	M@D#N@X	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	1	s	n/a	active_participle	aphel
734	MDNX	M@D#N@X	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	2	s	n/a	active_participle	aphel
738	D<K>	D^A<K^A>	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	f	1	s	n/a	active_participle	peal
738	D<K>	D^A<K^A>	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	f	2	s	n/a	active_participle	peal
758	DMDRK	D^M@D#REK#	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	1	s	n/a	active_participle	aphel
758	DMDRK	D^M@D#REK#	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	2	s	n/a	active_participle	aphel
758	DMDRK>	D^M@D#RK#A>	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	f	1	s	n/a	active_participle	aphel
758	DMDRK>	D^M@D#RK#A>	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	f	2	s	n/a	active_participle	aphel
758	MDRK	M@D#REK#	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	1	s	n/a	active_participle	aphel
758	MDRK	M@D#REK#	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	2	s	n/a	active_participle	aphel
758	MDRK>	M@D#RK#A>	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	f	1	s	n/a	active_participle	aphel
758	MDRK>	M@D#RK#A>	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	f	2	s	n/a	active_participle	aphel
765	DDRCJN	D^D#ARCIJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	1	p	n/a	active_participle	peal
765	DDRCJN	D^D#ARCIJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	2	p	n/a	active_participle	peal
765	DMDRC	D^@MD#@R@C	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	1	s	n/a	passive_participle	pael
765	DMDRC	D^@MD#@R@C	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	2	s	n/a	passive_participle	pael
765	DMDRCJN	D^@MD#@RCIJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	1	p	n/a	passive_participle	pael
765	DMDRCJN	D^@MD#@RCIJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	2	p	n/a	passive_participle	pael
765	DRC	D^AREC	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	1	s	n/a	active_participle	peal
765	DRC	D^AREC	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	2	s	n/a	active_participle	peal
765	DRCJN	D^ARCIJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	1	p	n/a	active_participle	peal
765	DRCJN	D^ARCIJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	2	p	n/a	active_participle	peal
765	WDRC	WD#AREC	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	3	m	1	s	n/a	active_participle	peal
765	WDRC	WD#AREC	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	3	m	2	s	n/a	active_participle	peal
765	WDRCJN	WD#ARCIJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	3	m	1	p	n/a	active_participle	peal
765	WDRCJN	WD#ARCIJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	3	m	2	p	n/a	active_participle	peal
765	MDRC	MD#@R@C	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	1	s	n/a	passive_participle	pael
765	MDRC	MD#@R@C	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	2	s	n/a	passive_participle	pael
765	MDRCJN	MD#@RCIJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	1	p	n/a	passive_participle	pael
765	MDRCJN	MD#@RCIJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	m	2	p	n/a	passive_participle	pael
783	DHWJ>	D^HAWJA>	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	f	1	p	n/a	active_participle	peal
783	DHWJ>	D^HAWJA>	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	f	2	p	n/a	active_participle	peal
783	DHWJN	D^HAWEJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	1	p	n/a	active_participle	peal
783	DHWJN	D^HAWEJN	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	m	2	p	n/a	active_participle	peal
783	DHWJN	D^HAWJAN	1	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	f	1	p	n/a	active_participle	peal
783	DHWJN	D^HAWJAN	1	0	0	0	1	c/n/a	n/a	s/n/a	n/a	2	f	2	p	n/a	active_participle	peal
783	HW>	HAWE>	0	0	0	0	3	c/n/a	n/a	s/n/a	n/a	0	m	1	s	n/a	active_participle	peal
783	HW>	HAWE>	0	0	0	0	3	c/n/a	n/a	s/n/a	n/a	0	m	2	s	n/a	active_participle	peal
783	HWJ>	HAWJA>	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	f	1	s	n/a	active_participle	peal
783	HWJ>	HAWJA>	0	0	0	0	1	c/n/a	n/a	s/n/a	n/a	0	f	2	s	n/a	active_participle	peal
783	HWJN	HAWEJN	0	0	0	0	3	c/n/a	n/a	s/n/a	n/a	0	m	1	p	n/a	active_participle	peal
783	HWJN	HAWEJN	0	0	0	0	3	c/n/a	n/a	s/n/a	n/a	0	m	2	p	n/a	active_participle	peal
783	HWJN	HAWJAN	0	0	0	0	4	c/n/a	n/a	s/n/a	n/a	0	f	1	p	n/a	active_participle	peal
783	HWJN	HAWJAN	0	0	0	0	4	c/n/a	n/a	s/n/a	n/a	0	f	2	p	n/a	active_participle	peal
783	HWJTWN	HAWEJT^UWN	0	0	0	0	1	m	2	p	contraction	0	m	2	p	n/a	active_participle	peal
783	HWJNN	HAWEJN@N	0	0	0	0	1	c/n/a	1	p	contraction	0	m	3	p	n/a	active_participle	peal
783	WHW>	WHAWE>	0	0	0	0	2	c/n/a	n/a	s/n/a	n/a	3	m	1	s	n/a	active_participle	peal
783	WHW>	WHAWE>	0	0	0	0	2	c/n/a	n/a	s/n/a	n/a	3	m	2	s	n/a	active_participle	peal
