ʿAmrīn (settlement)	[Syriac Not Available]	http://syriaca.org/place/946
ʿĀmūda (settlement)	[Syriac Not Available]	http://syriaca.org/place/664
Amyūn (settlement)	[Syriac Not Available]	http://syriaca.org/place/269
Anab (settlement)	ܐܢܒ	http://syriaca.org/place/1515
ʿĀnah (settlement)	ܥܐܢܐ	http://syriaca.org/place/429
Anasartha (settlement)	[Syriac Not Available]	http://syriaca.org/place/574
ʿĀnāt (settlement)	[Syriac Not Available]	http://syriaca.org/place/665
Anatolia (region)	ܐܢܐܛܘܠ	http://syriaca.org/place/504
ʿAnbi (settlement)	[Syriac Not Available]	http://syriaca.org/place/947
Ancient Near East (region)	[Syriac Not Available]	http://syriaca.org/place/575
Ancyra (settlement)	ܐܢܩܘܪܐ	http://syriaca.org/place/494
Anhar (settlement)	[Syriac Not Available]	http://syriaca.org/place/904
Anhar (settlement)	[Syriac Not Available]	http://syriaca.org/place/905
Anhar (settlement)	[Syriac Not Available]	http://syriaca.org/place/906
Anhar (settlement)	[Syriac Not Available]	http://syriaca.org/place/903
Anḥil (settlement)	ܐܢܚܠ	http://syriaca.org/place/24
Ankamaly (settlement)	[Syriac Not Available]	http://syriaca.org/place/666
Ankamaly (diocese)	[Syriac Not Available]	http://syriaca.org/place/2252
Anṣanā (settlement)	ܐܢܨܢܐ	http://syriaca.org/place/1479
Antaradus (settlement)	ܐܢܛܐܪܐܕܘܣ	http://syriaca.org/place/1471
Antioch (settlement)	ܐܢܛܝܘܟܝܐ	http://syriaca.org/place/10
Antioch (region)	ܐܢܛܝܘܟܝܐ	http://syriaca.org/place/995
Anzel (diocese)	[Syriac Not Available]	http://syriaca.org/place/2253
Anzel (region)	[Syriac Not Available]	http://syriaca.org/place/839
Apamea (settlement)	ܐܘܦܡܝܐ	http://syriaca.org/place/11
Apamene (region)	[Syriac Not Available]	http://syriaca.org/place/1180
ʿAqdesh (settlement)	[Syriac Not Available]	http://syriaca.org/place/948
Āqōse (settlement)	[Syriac Not Available]	http://syriaca.org/place/907
ʿAqra (settlement)	ܥܩܪ	http://syriaca.org/place/25
ʿAqra (region)	[Syriac Not Available]	http://syriaca.org/place/708
ʿAqra (diocese)	[Syriac Not Available]	http://syriaca.org/place/2264
ʿAqri (diocese)	[Syriac Not Available]	http://syriaca.org/place/2265
ʿAqrī (settlement)	[Syriac Not Available]	http://syriaca.org/place/949
Aqsarāy (settlement)	ܐܩܣܪܐܝ	http://syriaca.org/place/290
ʿArabān (settlement)	ܥܪܒܐܢ	http://syriaca.org/place/430
Arabia (province)	ܐܬܪ̈ܘܬܐ ܕܥܪ̈ܒܝܐ	http://syriaca.org/place/12
Arabia (region)	[Syriac Not Available]	http://syriaca.org/place/716
Ārādn (settlement)	[Syriac Not Available]	http://syriaca.org/place/256
Arak (settlement)	ܐܪܟ	http://syriaca.org/place/515
ʿArban (settlement)	ܥܪܒܐܢ	http://syriaca.org/place/544
Arbela (settlement)	ܐܪܒܝܠ	http://syriaca.org/place/13
Arbo (settlement)	ܐܪܒܘ	http://syriaca.org/place/540
Ardabīl (settlement)	[Syriac Not Available]	http://syriaca.org/place/798
Ardamut (settlement)	[Syriac Not Available]	http://syriaca.org/place/670
Ardashir Khurrah (settlement)	[Syriac Not Available]	http://syriaca.org/place/671
Ardishai (diocese)	[Syriac Not Available]	http://syriaca.org/place/2255
Ardishai (settlement)	[Syriac Not Available]	http://syriaca.org/place/249
ʿArdnas (settlement)	ܥܪܢܐܣ	http://syriaca.org/place/242
Ardod (settlement)	[Syriac Not Available]	http://syriaca.org/place/908
Arenā (settlement)	[Syriac Not Available]	http://syriaca.org/place/909
Arethusa (settlement)	[Syriac Not Available]	http://syriaca.org/place/27
Ārewūn (settlement)	[Syriac Not Available]	http://syriaca.org/place/910
Argeb (settlement)	[Syriac Not Available]	http://syriaca.org/place/911
Ārgen (settlement)	[Syriac Not Available]	http://syriaca.org/place/912
Arjiqānīs (settlement)	[Syriac Not Available]	http://syriaca.org/place/913
Arkaḥ (settlement)	ܐܪܟܚ	http://syriaca.org/place/559
Armānīs (settlement)	[Syriac Not Available]	http://syriaca.org/place/914
Armenia (region)	ܐܪܡܢܝܐ	http://syriaca.org/place/576
Armūṭā (settlement)	[Syriac Not Available]	http://syriaca.org/place/915
ʿArmūṭāghāj (diocese)	[Syriac Not Available]	http://syriaca.org/place/2266
ʿArmūṭāghāj (settlement)	[Syriac Not Available]	http://syriaca.org/place/950
Ārōsh (settlement)	[Syriac Not Available]	http://syriaca.org/place/916
ʿArqa (settlement)	ܥܪܩܐ	http://syriaca.org/place/431
Arragan (settlement)	[Syriac Not Available]	http://syriaca.org/place/672
Arsamosata (settlement)	ܐܪܫܡܝܫܛ	http://syriaca.org/place/286
Arsanias (river)	[Syriac Not Available]	http://syriaca.org/place/28
Arsham (settlement)	[Syriac Not Available]	http://syriaca.org/place/925
Artevin (settlement)	[Syriac Not Available]	http://syriaca.org/place/917
Artūk (settlement)	[Syriac Not Available]	http://syriaca.org/place/918
Artūn (settlement)	[Syriac Not Available]	http://syriaca.org/place/919
Artushi (region)	[Syriac Not Available]	http://syriaca.org/place/731
Arzanene (region)	[Syriac Not Available]	http://syriaca.org/place/673
Arzni (settlement)	[Syriac Not Available]	http://syriaca.org/place/2555
Arzun (settlement)	ܐܪܙܘܢ	http://syriaca.org/place/285
Arzun (diocese)	[Syriac Not Available]	http://syriaca.org/place/2256
Asbag (church)	[Syriac Not Available]	http://syriaca.org/place/1841
Ascalon (settlement)	[Syriac Not Available]	http://syriaca.org/place/674
Ashitha (settlement)	[Syriac Not Available]	http://syriaca.org/place/255
