Ammonios, Doticos, Cyriacus, and Acmonicos (text)		http://syriaca.org/work/1497
Ammonius (text) 		http://syriaca.org/work/646
Amoun (text) 		http://syriaca.org/work/413
Amoun (text) 		http://syriaca.org/work/540
Amoun (text) 		http://syriaca.org/work/416
Amoun (text) 		http://syriaca.org/work/640
Amoun (text) 		http://syriaca.org/work/639
Amoun (text) 		http://syriaca.org/work/541
Amoun (text) 		http://syriaca.org/work/522
An Aged Monk (text) 		http://syriaca.org/work/1852
Ananias (text) 		http://syriaca.org/work/1640
Ananias (text) 		http://syriaca.org/work/1030
Ananias and Shmouni (text) 		http://syriaca.org/work/1735
Ananias of Arbela (text) 		http://syriaca.org/work/325
Philoxenus of Mabbug (text) 		http://syriaca.org/work/1507
Anastasia (text) 		http://syriaca.org/work/907
Andrew, the Apostle (text) 		http://syriaca.org/work/1157
Andrew (text) 		http://syriaca.org/work/1619
Andrew (variation) (text) 		http://syriaca.org/work/2030
Andrew the Apostle (text) 		http://syriaca.org/work/1978
Andrew the Apostle (text) 		http://syriaca.org/work/2016
Andromedes of Jerusalem (text) 		http://syriaca.org/work/1488
Andronicus and Athanasia (text) 		http://syriaca.org/work/385
An Elder (text) 		http://syriaca.org/work/514
An Elder (text) 		http://syriaca.org/work/499
An Old Saint Near the Euphrates (text)		http://syriaca.org/work/1845
Antigone and Eupraxia (text) 		http://syriaca.org/work/1641
Antoninus, Zebinas, Germanus, and Mannathus (text)		http://syriaca.org/work/242
Antonius (text) 		http://syriaca.org/work/681
Antonius (text) 		http://syriaca.org/work/729
Antonius (text) 		http://syriaca.org/work/1711
Antony (text) 		http://syriaca.org/work/855
Antony (text) 		http://syriaca.org/work/353
Antony (text) 		http://syriaca.org/work/886
Apalin (text) 		http://syriaca.org/work/528
Apocalypse of Jacob, the Apostle (text)		http://syriaca.org/work/1035
Apocalypse of John, the Evangelist (text)		http://syriaca.org/work/1036
Apocalypse of Methodius (text) 		http://syriaca.org/work/1558
Apocalypse of Methodius (text) 		http://syriaca.org/work/1779
Apocalypse of Paul, the Apostle (text)		http://syriaca.org/work/1042
Apocalypse of Peter, the Apostle (text)		http://syriaca.org/work/1034
Apollo (text) 		http://syriaca.org/work/511
Apollo and Amoun (text) 		http://syriaca.org/work/786
Apollo and Amoun (text) 		http://syriaca.org/work/527
Apollo and John (text) 		http://syriaca.org/work/529
Apollonios, Philemon, Arrian and his Companions (text)		http://syriaca.org/work/1482
Apollonios (text) 		http://syriaca.org/work/649
Apollonios (text) 		http://syriaca.org/work/648
Apollonios (text) 		http://syriaca.org/work/418
Apollo the Young (text) 		http://syriaca.org/work/548
The Apostle Peter (text) 		http://syriaca.org/work/1785
Apostles (or Evangelists) (text) 		http://syriaca.org/work/1256
Apostles (text) 		http://syriaca.org/work/904
The Apostles (text) 		http://syriaca.org/work/1882
The Apostles (text) 		http://syriaca.org/work/1287
The Apostles (text) 		http://syriaca.org/work/2005
The Apostles (text) 		http://syriaca.org/work/1649
Apostles (text) 		http://syriaca.org/work/1262
The Apostles (text) 		http://syriaca.org/work/1878
Apostles (text) 		http://syriaca.org/work/710
The Apostles (text) 		http://syriaca.org/work/1836
Apostles (text) 		http://syriaca.org/work/1277
Apostles (text) 		http://syriaca.org/work/1811
Apostles (text) 		http://syriaca.org/work/1988
Apostles (The Doctrine of) (text) 		http://syriaca.org/work/1559
Apostles and Disciples (text) 		http://syriaca.org/work/1848
Apostles and Disciples (text) 		http://syriaca.org/work/1410
Apostles and Prophets (text) 		http://syriaca.org/work/1821
Apphian (text) 		http://syriaca.org/work/911
Archelides (text) 		http://syriaca.org/work/919
Archelides (text) 		http://syriaca.org/work/1807
Archelides (text) 		http://syriaca.org/work/917
Archelides (text) 		http://syriaca.org/work/918
Ares, Primus, and Elijah (text) 		http://syriaca.org/work/243
Arsenius, King of Egypt (text) 		http://syriaca.org/work/1383
On a Saint (text) 		http://syriaca.org/work/427
Aseneth (text) 		http://syriaca.org/work/1837
Asia (text) 		http://syriaca.org/work/1141
Athanasius, Bishop of Alexandria (text)		http://syriaca.org/work/390
Athanasius of Alexandria (text) 		http://syriaca.org/work/856
Athanasius of Alexandria (text) 		http://syriaca.org/work/1427
Athanasius of Alexandria (text) 		http://syriaca.org/work/763
Athanasius of Alexandria (text) 		http://syriaca.org/work/1039
Athanasius of Alexandria (text) 		http://syriaca.org/work/873
Athanasius of Alexandria (text) 		http://syriaca.org/work/1429
Athanasius of Alexandria (text) 		http://syriaca.org/work/1333
Atqen (Rabban Mar) (text) 		http://syriaca.org/work/1328
Aurelius (text) 		http://syriaca.org/work/481
Aurelius (text) 		http://syriaca.org/work/678
Awgin (text) 		http://syriaca.org/work/309
Awgin (text) 		http://syriaca.org/work/1945
Awgin (text) 		http://syriaca.org/work/308
Awgin (text) 		http://syriaca.org/work/1457
Azad and his Companions (text) 		http://syriaca.org/work/268
ʿAzazael (text) 		http://syriaca.org/work/1173
ʿAziza (text) 		http://syriaca.org/work/1512
Babai of Nisibis (text) 		http://syriaca.org/work/1146
Babowaï (text) 		http://syriaca.org/work/293
Babylas (text) 		http://syriaca.org/work/885
Babylas and his Companions (text) 		http://syriaca.org/work/722
Babylas and his Companions (text) 		http://syriaca.org/work/723
Babylas and the Three Children (text) 		http://syriaca.org/work/344
Babylas of Antioch and the Three Children (text)		http://syriaca.org/work/1215
Badai the Priest (text) 		http://syriaca.org/work/329
Badma (text) 		http://syriaca.org/work/284
Bagima or Pijimi (text) 		http://syriaca.org/work/1856
Barbara (text) 		http://syriaca.org/work/2014
Barbara and Juliana (text) 		http://syriaca.org/work/1752
Barba‘shmin and his Companions (text) 		http://syriaca.org/work/277
Barhadbeshabba (text) 		http://syriaca.org/work/281
Bar Hebraeus (text) 		http://syriaca.org/work/1787
Bar Hebraeus (text) 		http://syriaca.org/work/1826
Barlaha (text) 		http://syriaca.org/work/788
Barsamya (text) 		http://syriaca.org/work/306
Barsamya (text) 		http://syriaca.org/work/226
Barsamya (text) 		http://syriaca.org/work/925
Barsauma (text) 		http://syriaca.org/work/1444
Barsauma (text) 		http://syriaca.org/work/1443
Barsauma (text) 		http://syriaca.org/work/1441
Barsauma (text) 		http://syriaca.org/work/1997
Barsauma (text) 		http://syriaca.org/work/2020
Barsauma (text) 		http://syriaca.org/work/1442
Barsauma the Syrian (text) 		http://syriaca.org/work/1073
Barshebya (text) 		http://syriaca.org/work/272
Baruch (Apocalypse) (text) 		http://syriaca.org/work/902
Basil, Gregory, and Ignatius (text) 		http://syriaca.org/work/766
Basil, Gregory, and Ignatius (text) 		http://syriaca.org/work/784
Basil, Gregory, and Ignatius (text) 		http://syriaca.org/work/765
Basil (text) 		http://syriaca.org/work/875
Basil (text) 		http://syriaca.org/work/1601
Basil and Gregory (text) 		http://syriaca.org/work/867
Basil and Gregory (text) 		http://syriaca.org/work/860
Basil and Gregory (text) 		http://syriaca.org/work/764
Basil and Gregory (text) 		http://syriaca.org/work/884
Basil and Gregory (text) 		http://syriaca.org/work/1964
Basil the Great, Gregory of Nyssa and Peter (text)		http://syriaca.org/work/1476
Basil the Great (text) 		http://syriaca.org/work/1603
Basil the Great (text) 		http://syriaca.org/work/1539
Basil the Great (text) 		http://syriaca.org/work/1430
Basil the Great (text) 		http://syriaca.org/work/1446
Basil the Great (text) 		http://syriaca.org/work/382
Basil the Great (text) 		http://syriaca.org/work/1428
Basil the Great and Gregory of Nazianzus (text)		http://syriaca.org/work/854
Basil the Great and Gregory of Nazianzus (text)		http://syriaca.org/work/853
Bassianus, Romanus, and Simeon (text) 		http://syriaca.org/work/832
Bassinus, Romain, and Simeon (text) 		http://syriaca.org/work/1958
Bassus, Susan, Stephen, and Longinus (text)		http://syriaca.org/work/2053
Bassus, Susan, Stephen, Longinus (text)		http://syriaca.org/work/1293
Bassus, Susan, Stephen, Longinus (text)		http://syriaca.org/work/1228
Bassus, Susan, Stephen, Longinus (text)		http://syriaca.org/work/348
Bassus (text) 		http://syriaca.org/work/1832
Behnam (text) 		http://syriaca.org/work/1858
Behnam (text) 		http://syriaca.org/work/2034
Behnam and his Companions (text) 		http://syriaca.org/work/1396
Behnam and his Companions (text) 		http://syriaca.org/work/1395
Behnam and his Companions (text) 		http://syriaca.org/work/1833
Behnam and his Companions (text) 		http://syriaca.org/work/1625
Behnam and Sara (text) 		http://syriaca.org/work/286
Benjamin (text) 		http://syriaca.org/work/1028
Benjamin (text) 		http://syriaca.org/work/647
Benjamin (text) 		http://syriaca.org/work/417
Benjamin and Joseph (text) 		http://syriaca.org/work/1849
Benjamin of Beth Nuhadra (text) 		http://syriaca.org/work/1029
Berikhisho and ʿAbdisho (text) 		http://syriaca.org/work/330
Bessarion (text) 		http://syriaca.org/work/496
Bessarion (text) 		http://syriaca.org/work/495
Bishoi (text) 		http://syriaca.org/work/314
Bishoi (text) 		http://syriaca.org/work/1708
Bishoi (text) 		http://syriaca.org/work/313
Bishop (text) 		http://syriaca.org/work/505
A Bishop (text) 		http://syriaca.org/work/1630
The Book of Governors (text) 		http://syriaca.org/work/1290
Book of the Superiors (text) 		http://syriaca.org/work/1842
Brother (text) 		http://syriaca.org/work/507
A Brother (text) 		http://syriaca.org/work/518
A Brother (text) 		http://syriaca.org/work/519
Brotherly Neighbor of Poimen (text) 		http://syriaca.org/work/506
Brothers of Oxyrhynchus (text) 		http://syriaca.org/work/524
