	ܩܫܝܫ	http://syriaca.org/person/2032
Elpidos	ܗܠܦܕܝܘܣ	http://syriaca.org/person/1706
Elpis	ܗܠܦܝܣ	http://syriaca.org/person/1707
Ephrem	ܐܦܪܝܡ	http://syriaca.org/person/13
Ephrem the Scribe	ܐܦܪܝܡ	http://syriaca.org/person/1098
Epiphanius	ܐܦܝܦܢܣ	http://syriaca.org/person/1708
Epiphaniusof Salamis	ܐܦܝܦܐܢܝܘܣ ܕܩܘܦܪܘܣ	http://syriaca.org/person/477
Eubulus	ܐܘܒܘܠܘܣ	http://syriaca.org/person/3028
Eucarpios	ܐܘܩܪܦܝܣ	http://syriaca.org/person/1712
Eudoxius	ܐܒܕܘܟܣܝܘܣ	http://syriaca.org/person/1713
Eugene	ܐܘܓܝܢ	http://syriaca.org/person/1714
Eugenia	ܐܘܓܢܝܐ	http://syriaca.org/person/1716
Eugenius	[Syriac Not Available]	http://syriaca.org/person/1231
Eulogius	ܐܘܠܘܓܝܣ	http://syriaca.org/person/1718
Eulogius	ܐܘܠܘܓܝܣ	http://syriaca.org/person/1717
Eulogius and the leper	ܐܘܠܘܓ	http://syriaca.org/person/1232
Euphemia	ܐܘܦܡܝܐ ܘܣܘܦܝܐ	http://syriaca.org/person/1720
Euphemia	ܐܘܦܡܝܐ	http://syriaca.org/person/3025
Euphemiathe martyr	ܐܘܦܝܡܝܐ	http://syriaca.org/person/479
Euphemius	ܐܘܦܡܝܐ	http://syriaca.org/person/1719
Euphrosyne	ܐܘܦܪܘܣܝܢܝ ܐܙܡܪܓܕܘܣ	http://syriaca.org/person/1721
Eupraxia	ܐܘܦܪܟܣܝܐ	http://syriaca.org/person/1722
Eupraxius	ܐܘܦܪܟܣܝܐ	http://syriaca.org/person/1233
Eusebius, bishop of Rome	ܐܘܣܒܝܣ	http://syriaca.org/person/1723
Eusebiusof Samosata	ܐܘܣܒܝܘܣ ܕܫܡܝܫܛ	http://syriaca.org/person/958
Eusebona	[Syriac Not Available]	http://syriaca.org/person/1235
Eustathius, bishop of Antioch	ܐܘܣܛܬܝܣ	http://syriaca.org/person/1725
Eustathius the Monk	ܐܘܣܛܬܝܘܣ	http://syriaca.org/person/1724
Eustathius the Reader	ܐܘܣܛܬܝܣ ܩܪܘܝܐ	http://syriaca.org/person/1726
Eutal	[Syriac Not Available]	http://syriaca.org/person/1236
Eutal of Magdala	[Syriac Not Available]	http://syriaca.org/person/1237
Euthalius	[Syriac Not Available]	http://syriaca.org/person/1727
Euthymius	[Syriac Not Available]	http://syriaca.org/person/1728
Eutychios	[Syriac Not Available]	http://syriaca.org/person/1238
Evagriusof Pontus	ܐܘܓܪܝܣ	http://syriaca.org/person/483
Eve	ܚܘܐ	http://syriaca.org/person/1731
Ezekiel	[Syriac Not Available]	http://syriaca.org/person/1865
Ezekiel the Monk	[Syriac Not Available]	http://syriaca.org/person/1239
Father of Egypt	[Syriac Not Available]	http://syriaca.org/person/1994
Fathers (Paradise of)	[Syriac Not Available]	http://syriaca.org/person/1993
Fathers of Nitria	[Syriac Not Available]	http://syriaca.org/person/1744
Fausta of Cyzicus	ܦܘܣܛܐ	http://syriaca.org/person/1734
Faustinus	ܦܘܣܛܝܢܘܣ	http://syriaca.org/person/1735
Febronia of Nisibis	ܦܒܪܘܢܝܐ	http://syriaca.org/person/1240
Flavian	ܦܠܘܝܢܘܣ	http://syriaca.org/person/1737
Forty Martyrs of Sebaste	ܐܪ̈ܒܥܝܢ ܣܗܕ̈ܐ	http://syriaca.org/person/1901
Forty Martyrs of Sinai	[Syriac Not Available]	http://syriaca.org/person/1904
Gabriel	[Syriac Not Available]	http://syriaca.org/person/1241
Gabrielof Edessa	ܓܒܪܐܝܠ ܐܘܪܗܝܐ	http://syriaca.org/person/227
Gabriel of Kashkar	[Syriac Not Available]	http://syriaca.org/person/1243
Gabriel of Qartmin	ܓܒܪܐܝܠ	http://syriaca.org/person/1242
Gabrona of Qarta	[Syriac Not Available]	http://syriaca.org/person/1244
Gaddai	ܓܕܝ	http://syriaca.org/person/1747
Gamaliel	[Syriac Not Available]	http://syriaca.org/person/1245
Ganni of Hirta	[Syriac Not Available]	http://syriaca.org/person/1246
Gayana	[Syriac Not Available]	http://syriaca.org/person/1247
Gelasia	ܓܠܣܝܐ	http://syriaca.org/person/1748
George	ܓܝܘܪܓܝܣ	http://syriaca.org/person/1749
George, bishop of the Arabs	ܓܘܪܓܝ ܐܦܝܣܩܘܦܐ ܕܥܪ̈ܒܝܐ	http://syriaca.org/person/122
George of Harran	[Syriac Not Available]	http://syriaca.org/person/1249
George of the Greeks	[Syriac Not Available]	http://syriaca.org/person/1248
George the Priest	ܓܝܘܪܓܝܣ	http://syriaca.org/person/1250
Gerasimos	ܓܪܘܣܝܡܘܣ	http://syriaca.org/person/1753
Germanus	ܓܪܡܢܘܣ	http://syriaca.org/person/1754
Golinduch	[Syriac Not Available]	http://syriaca.org/person/1251
The Good Thief on the Cross	ܓܝܣܐ ܕܡܢ ܝܡܝܢܐ	http://syriaca.org/person/1851
Gordian, father of Saint George	ܓܘܪܕܝܢܘܣ	http://syriaca.org/person/1755
Gordios	ܓܪܕܝܘܣ	http://syriaca.org/person/1756
Gorgonia	ܓܘܪܓܢܝܐ	http://syriaca.org/person/1757
Gourbarlaha	ܓܘܒܪܠܗܐ	http://syriaca.org/person/1254
Gourya	ܓܘܪܝܐ	http://syriaca.org/person/1257
Greek Doctors	ܡܠܦܢܐ ܝܘܢܝܐ	http://syriaca.org/person/1211
bar HebraeusGregorius	ܓܪܝܓܘܪܝܘܣ ܒܪ ܥܒܪܝܐ	http://syriaca.org/person/239
GregoryNazianzen	ܓܪܝܓܘܪܝܘܣ ܕܐܢܙܝܢܙܘ	http://syriaca.org/person/511
Gregory or George, Zwanarse and Yazdapnah	[Syriac Not Available]	http://syriaca.org/person/1252
Gregory Pirangoushnasp	ܓܪܝܓܘܪ	http://syriaca.org/person/1253
Gregory the Elder	ܓܪܝܓܘܪܝܘܣ	http://syriaca.org/person/1759
Gregory the Illuminator	ܓܪܝܓܘܪܝܘܣ	http://syriaca.org/person/1761
Gregory the Wonderworker	ܓܪܝܓܘܪܝܘܣ ܥܒܕ ܬܕܡܪ̈ܬܐ	http://syriaca.org/person/513
Guhishtazad	[Syriac Not Available]	http://syriaca.org/person/1255
Guhishtazad	[Syriac Not Available]	http://syriaca.org/person/1256
Habakkuk	ܚܒܩܘܩ	http://syriaca.org/person/1763
Habib	[Syriac Not Available]	http://syriaca.org/person/3019
Habib	ܚܒܝܒ	http://syriaca.org/person/1765
Habib	[Syriac Not Available]	http://syriaca.org/person/1259
Habib	ܚܒܝܒ	http://syriaca.org/person/1258
Habib	ܚܒܝܒ	http://syriaca.org/person/1260
Habib of Samosata	ܚܒܝܒ	http://syriaca.org/person/1764
Habib of Scetis	[Syriac Not Available]	http://syriaca.org/person/1261
Hadrian	ܐܕܪܝܢܗ	http://syriaca.org/person/1767
Hadrian	ܗܕܪܝܢܘܣ	http://syriaca.org/person/1768
Hala	ܚܠܐ	http://syriaca.org/person/1769
Hananya of Dayr al-Zaʿfaran	[Syriac Not Available]	http://syriaca.org/person/1264
Hapsai	ܚܦܣܝ	http://syriaca.org/person/1770
Harphat	ܚܪܦܛ	http://syriaca.org/person/1771
Hasho	ܗܫܘ	http://syriaca.org/person/1766
Hatha	ܚܬܐ	http://syriaca.org/person/3030
Helen	[Syriac Not Available]	http://syriaca.org/person/1265
Heliodorus	[Syriac Not Available]	http://syriaca.org/person/1266
Henana of Adiabene	ܚܢܢܐ ܚܕܝܒܝܐ	http://syriaca.org/person/530
Heraclas of Kafar Sama	[Syriac Not Available]	http://syriaca.org/person/1267
Hermalaʾos	ܐܪܡܠܐܘܣ	http://syriaca.org/person/1772
Heronios	ܗܪܘܢܝܘܢ	http://syriaca.org/person/2064
Hilaria	ܐܠܐܪܝܐ	http://syriaca.org/person/1268
Hiran of Adiabene	ܚܝܪܢ	http://syriaca.org/person/1774
Holy Innocents	ܝܠܘ̈ܕܐ ܕܐܬܩܛܠܘ ܡܢ ܐܝܪܘܕܝܣ ܒܒܝܬ ܠܚܡ	http://syriaca.org/person/1786
Honorius, Roman emperor	[Syriac Not Available]	http://syriaca.org/person/1779
Hormizd	[Syriac Not Available]	http://syriaca.org/person/1270
Hormizd	ܗܘܪܡܝܙܕ	http://syriaca.org/person/1271
Hosea	ܗܘܫܥ	http://syriaca.org/person/1952
Hudahwi	[Syriac Not Available]	http://syriaca.org/person/1272
Hwara, son of Theodore	[Syriac Not Available]	http://syriaca.org/person/1273
Hwarta	[Syriac Not Available]	http://syriaca.org/person/1274
Hyperechius	ܗܘܦܪܟܘܣ	http://syriaca.org/person/1780
Ia	[Syriac Not Available]	http://syriaca.org/person/1275
Ignatius	ܐܝܓܢܐܛܝܘܣ	http://syriaca.org/person/1782
Ignatius	[Syriac Not Available]	http://syriaca.org/person/1276
Ignatius of Antioch	ܐܓܢܛܝܘܣ	http://syriaca.org/person/544
Ignatius XVIII David Shah	[Syriac Not Available]	http://syriaca.org/person/1783
Ina	[Syriac Not Available]	http://syriaca.org/person/1784
Innocent	ܐܝܢܘܩܢܛܝܘܣ	http://syriaca.org/person/1785
Irene	ܐܝܪܝܢܝܐ	http://syriaca.org/person/1787
Isaac	[Syriac Not Available]	http://syriaca.org/person/1278
Isaac	ܐܝܣܚܩ	http://syriaca.org/person/1790
Isaac	ܐܝܣܚܩ	http://syriaca.org/person/1788
Isaac	[Syriac Not Available]	http://syriaca.org/person/1277
Isaac	ܐܝܣܚܩ	http://syriaca.org/person/1789
Isaac, bishop of Karka	ܐܝܣܚܩ	http://syriaca.org/person/1791
Isaac of Adiabene	ܐܝܣܚܩ	http://syriaca.org/person/1792
Isaacof Nineveh	ܐܝܣܚܩ ܕܢܝܢܘܐ	http://syriaca.org/person/550
Isaiah	[Syriac Not Available]	http://syriaca.org/person/1279
Isaiah	ܐܫܥܝܐ	http://syriaca.org/person/3141
Isaiah of Aleppo	ܐܫܥܝܐ ܚܠܒܝܐ	http://syriaca.org/person/1280
Isaiah of Palestine	ܐܫܥܝܐ	http://syriaca.org/person/1793
Isaiah the Egyptian	[Syriac Not Available]	http://syriaca.org/person/1281
Ishoʿ bar Nun	ܝܫܘܥ ܒܪ ܢܘܢ	http://syriaca.org/person/1794
Ishoʿ of Kumateh	ܝܫܘܥ ܕܟܘܡ̈ܬܗ	http://syriaca.org/person/1795
Ishoʿsabran	ܝܫܘܥܣܒܪܢ	http://syriaca.org/person/1284
Ishoʿyahb	[Syriac Not Available]	http://syriaca.org/person/1286
Ishoʿyahb	[Syriac Not Available]	http://syriaca.org/person/1285
Ishoʿyahb bar Qusre	[Syriac Not Available]	http://syriaca.org/person/1289
Ishoʿyahb III of Adiabene	ܝܫܘܥܝܗܒ ܚܕܝܒܝܐ	http://syriaca.org/person/561
Ishoʿyahb of Arzun	[Syriac Not Available]	http://syriaca.org/person/1287
Ishoʿyahb of Gdala	[Syriac Not Available]	http://syriaca.org/person/1288
Isidore	[Syriac Not Available]	http://syriaca.org/person/1282
Isidore	ܐܝܣܝܕܘܪܐ	http://syriaca.org/person/1796
Isidore	[Syriac Not Available]	http://syriaca.org/person/1283
Israel of Kashkar	[Syriac Not Available]	http://syriaca.org/person/1290
Jacob	[Syriac Not Available]	http://syriaca.org/person/1294
Jacob	ܝܥܩܘܒ	http://syriaca.org/person/1301
Jacob, bishop of Phesilta	[Syriac Not Available]	http://syriaca.org/person/1295
Jacob Baradaeus	ܝܥܩܘܒ ܒܘܪܕܥܝܐ	http://syriaca.org/person/69
Jacob of Adiabene	ܝܥܩܘܒ ܛܢܢܐ	http://syriaca.org/person/1322
Jacobof Edessa	ܝܥܩܘܒ ܕܐܘܪܗܝ	http://syriaca.org/person/113
Jacobof Nisibis	ܝܥܩܘܒ ܕܢܨܝܒܝܢ	http://syriaca.org/person/811
Jacob of Samosata	ܝܥܩܘܒ	http://syriaca.org/person/1797
Jacob of Serugh	ܝܥܩܘܒ ܕܣܪܘܓ	http://syriaca.org/person/42
Jacob the Apostle	ܝܥܩܘܒ	http://syriaca.org/person/1798
Jacob the Cut-Up	ܝܥܩܘܒ ܡܦܣܩܐ	http://syriaca.org/person/1296
Jacob the Lame	ܝܥܩܘܒ ܚܓܝܪܐ	http://syriaca.org/person/1799
Jacob the Notary	ܝܥܩܘܒ ܢܘܛܪܐ	http://syriaca.org/person/1297
Jacob the Priest	ܝܥܩܘܒ	http://syriaca.org/person/1302
Jacob the Reclus	[Syriac Not Available]	http://syriaca.org/person/1298
Jacob the Recluse	ܝܥܩܘܒ	http://syriaca.org/person/1299
Jacob the Wandering Monk	ܝܥܩܘܒ	http://syriaca.org/person/1800
James of the Monastery of the Edessenes	[Syriac Not Available]	http://syriaca.org/person/1933
Job of Adiabene	[Syriac Not Available]	http://syriaca.org/person/1324
Job the Just	ܐܝܧܒ ܙܕܝܩܐ	http://syriaca.org/person/1829
John	ܝܘܚܢܢ	http://syriaca.org/person/1806
John	ܝܘܚܢܢ	http://syriaca.org/person/1820
John	ܝܘܚܢܢ	http://syriaca.org/person/1801
John	ܝܘܚܢܢ	http://syriaca.org/person/1802
John	ܝܘܚܢܢ	http://syriaca.org/person/1805
John	ܝܘܚܢܢ	http://syriaca.org/person/1803
Johnbar Aphtonia	ܝܘܚܢܢ ܒܪ ܐܦܬܘܢܝܐ	http://syriaca.org/person/52
John bar Maryam	ܝܘܚܢܢ ܒܪ ܡܪܝܡ	http://syriaca.org/person/1323
John bar Penkaye	ܝܘܚܢܢ ܒܪ ܦܢܟܝ̈ܐ	http://syriaca.org/person/821
John bar Shayullah	ܦܛܪܝܪܟܐ ܝܘܚܢܢ ܒܪ ܫܝܠܠܗ	http://syriaca.org/person/271
John bar ʿAbdun	[Syriac Not Available]	http://syriaca.org/person/1306
John Busnaya	[Syriac Not Available]	http://syriaca.org/person/1310
John Chrysostom	ܝܘܐܢܝܣ ܟܪܘܣܘܣܛܘܡܘܣ	http://syriaca.org/person/573
John III the Philosopher	[Syriac Not Available]	http://syriaca.org/person/1305
John Nahlaya	ܝܘܚܢܢ ܢܚܠܝܐ	http://syriaca.org/person/1825
John of Adiabene	ܝܘܚܢܢ	http://syriaca.org/person/1811
John of Antioch	[Syriac Not Available]	http://syriaca.org/person/1812
Johnof Dailam	ܝܘܚܢܢ ܕܝܠܘܡܝܐ	http://syriaca.org/person/825
John of Dasen, layman	ܝܘܚܢܢ ܕܣܢܝܐ	http://syriaca.org/person/1814
John of Edessa	ܝܘܚܢܢ	http://syriaca.org/person/1321
John of Harran	[Syriac Not Available]	http://syriaca.org/person/1313
John of Helephta	ܝܘܚܢܢ ܕܚܠܦܬܐ	http://syriaca.org/person/1815
John of Hephaestopolis	ܝܘܚܢܢ	http://syriaca.org/person/1813
John of Kafar Sania	[Syriac Not Available]	http://syriaca.org/person/1314
John of Kamul	[Syriac Not Available]	http://syriaca.org/person/1315
John of Kashkar	[Syriac Not Available]	http://syriaca.org/person/1316
John of Kfone	[Syriac Not Available]	http://syriaca.org/person/1317
John of Lycopolis	ܝܘܚܢܢ ܕܒܠܘܩܘ	http://syriaca.org/person/1816
Johnof Mardin	ܝܘܚܢܢ ܕܡܪܕܝܢ	http://syriaca.org/person/209
John of Nhel	ܝܘܚܢܢ ܕܢܚܠ	http://syriaca.org/person/1817
John of Qartmin	[Syriac Not Available]	http://syriaca.org/person/1319
John of Rome	ܝܘܚܢܢ	http://syriaca.org/person/1818
John of Sinai	[Syriac Not Available]	http://syriaca.org/person/1819
John of Tella	ܝܘܚܢܢ ܕܬܠܐ	http://syriaca.org/person/50
John Psaltes	[Syriac Not Available]	http://syriaca.org/person/1318
John son of Euphemianos	ܝܘܚܢܢ	http://syriaca.org/person/1821
John the Almsgiver	ܝܘܚܢܢ ܡܪܚܡܢܐ	http://syriaca.org/person/1308
John the Arab	[Syriac Not Available]	http://syriaca.org/person/1307
John the Baptist	ܝܘܚܢܢ ܡܥܡܕܢܐ	http://syriaca.org/person/1808
John the Blue	[Syriac Not Available]	http://syriaca.org/person/1309
John the Camel-Driver	[Syriac Not Available]	http://syriaca.org/person/1312
John the Doctor	[Syriac Not Available]	http://syriaca.org/person/1303
John the Egyptian	[Syriac Not Available]	http://syriaca.org/person/1311
John the Evangelist	ܝܘܚܢܢ	http://syriaca.org/person/1826
John the Nazarite	ܝܘܚܢܢ ܢܙܝܪܐ	http://syriaca.org/person/1320
John the Silo-Dweller	ܝܘܚܢܢ ܕܥܡܪ ܒܒܐܪܐ	http://syriaca.org/person/1824
John the Small	ܝܘܚܢܢ ܙܥܘܪܐ	http://syriaca.org/person/1823
John the Son of the Carpenters	[Syriac Not Available]	http://syriaca.org/person/1304
Jonah	[Syriac Not Available]	http://syriaca.org/person/1510
Jonah	ܝܘܢܢ	http://syriaca.org/person/1513
Jonah	ܝܘܢܢ	http://syriaca.org/person/1830
Jonah of Anbar	[Syriac Not Available]	http://syriaca.org/person/1511
Jonah of Anbar	[Syriac Not Available]	http://syriaca.org/person/1511
Jonah of Hah	[Syriac Not Available]	http://syriaca.org/person/1514
Joseph	[Syriac Not Available]	http://syriaca.org/person/1325
Joseph	ܝܘܣܦ	http://syriaca.org/person/1838
Joseph	ܝܘܣܦ	http://syriaca.org/person/1836
Joseph	ܝܘܣܦ	http://syriaca.org/person/1837
Joseph, patriarch of Antioch	[Syriac Not Available]	http://syriaca.org/person/1326
JosephBusnaya	ܝܘܣܦ ܒܘܣܢܝܐ	http://syriaca.org/person/815
Joseph of Adiabene	ܝܘܣܦ	http://syriaca.org/person/2162
Joseph of Arbela	[Syriac Not Available]	http://syriaca.org/person/1327
Judas Cyriacus	ܝܗܘܕܐ ܩܘܪܝܩܘܣ	http://syriaca.org/person/1191
Julian	ܝܘܠܝܐܢܘܣ	http://syriaca.org/person/2164
Julian, patriarch of Antioch	ܝܘܠܝܢܐ	http://syriaca.org/person/1330
Juliana	ܝܘܠܝܢܐ	http://syriaca.org/person/2165
Juliana	ܝܘܠܝܢܐ	http://syriaca.org/person/1329
Julian of Nicomedia	ܝܘܠܝܢܐ	http://syriaca.org/person/2166
JulianSaba	ܝܘܠܝܢܐ ܣܒܐ	http://syriaca.org/person/834
Julianus	ܝܘܠܝܢܘܣ	http://syriaca.org/person/3151
Juliet	ܝܘܠܝܛܐ	http://syriaca.org/person/2167
Julietta	ܝܘܠܝܛܐ	http://syriaca.org/person/1332
Julius, pope of Rome	ܝܘܠܝܘܣ	http://syriaca.org/person/2163
Justina	ܝܘܣܛܐ	http://syriaca.org/person/1333
Juventus	ܝܘܒܢܛܝܢܘܣ	http://syriaca.org/person/2169
Karag	[Syriac Not Available]	http://syriaca.org/person/1334
Karkus	[Syriac Not Available]	http://syriaca.org/person/1335
Kenan	[Syriac Not Available]	http://syriaca.org/person/1336
Kezmo	[Syriac Not Available]	http://syriaca.org/person/1847
King of ancient times	[Syriac Not Available]	http://syriaca.org/person/2038
Kodawahay	ܟܘܕܐܘܗܝ	http://syriaca.org/person/1848
Kulata	ܟܘܠܬܐ	http://syriaca.org/person/1849
Kurbur	[Syriac Not Available]	http://syriaca.org/person/1337
A Lapsed Bishop	[Syriac Not Available]	http://syriaca.org/person/1733
Lawrence	ܠܘܪܢܛܝܘܣ	http://syriaca.org/person/1339
Lazarus	ܠܥܙܪ	http://syriaca.org/person/1852
Lazarus of Habsenas	[Syriac Not Available]	http://syriaca.org/person/1846
Lazarus of Tur ʿAbdin	[Syriac Not Available]	http://syriaca.org/person/1843
Lazarus of Zagug	[Syriac Not Available]	http://syriaca.org/person/1842
Lazarus the Confessor	[Syriac Not Available]	http://syriaca.org/person/1340
Leontius	ܠܐܘܢܛܝ	http://syriaca.org/person/1853
Leontius	ܠܐܘܢܛܝܘܣ	http://syriaca.org/person/1341
Lollian	ܠܘܠܝܢܐ	http://syriaca.org/person/1854
Longinus	ܠܘܢܓܝܢܐ	http://syriaca.org/person/1342
Longinus	ܠܘܢܓܝܢܘܣ	http://syriaca.org/person/3012
Lucianus	ܠܘܩܝܢܘܣ	http://syriaca.org/person/1856
Lucianus	ܠܘܩܝܢܘܣ	http://syriaca.org/person/1857
Luke the Deacon	[Syriac Not Available]	http://syriaca.org/person/1343
Luke the Evangelist	ܠܘܩܐ	http://syriaca.org/person/1855
Lunatic of the Tabennesiots	[Syriac Not Available]	http://syriaca.org/person/1738
Macarius	ܡܩܪܝܣ	http://syriaca.org/person/856
Macarius	[Syriac Not Available]	http://syriaca.org/person/1344
Macarius of Alexandria	ܡܩܪܝܣ	http://syriaca.org/person/1346
Maccabees	[Syriac Not Available]	http://syriaca.org/person/1858
The Magi	ܡܓܘ̈ܫܐ	http://syriaca.org/person/1859
Magne	ܡܓܢܐ	http://syriaca.org/person/1860
Mahri	ܡܗܪܝ	http://syriaca.org/person/1861
Malcha the Solitary	ܡܪܩܘܣ	http://syriaca.org/person/1870
Malka	ܡܠܟܐ	http://syriaca.org/person/1862
Malke	ܡܠܟܐ	http://syriaca.org/person/1350
Mama	ܡܐܡܐ	http://syriaca.org/person/1845
Mama	ܡܐܡܐ	http://syriaca.org/person/1844
Mamas	ܡܐܡܐ	http://syriaca.org/person/1352
Mamelhta	[Syriac Not Available]	http://syriaca.org/person/1353
Mannathus	ܡܢܢܬܘܣ	http://syriaca.org/person/1863
Maqbil of Mansouria	ܡܩܒܝܠ	http://syriaca.org/person/1864
Maran-zkha of Adiabene	ܡܪܢ ܙܟܐ	http://syriaca.org/person/1867
Maranʿammeh	[Syriac Not Available]	http://syriaca.org/person/1868
Mara of Beth Urtaye	ܡܪܐ ܕܒܝܬ ܐܘܪ̈ܛܝܐ	http://syriaca.org/person/1866
Mara the Solitary	ܡܪܐ ܝܚܝܕܝܐ	http://syriaca.org/person/1875
Marcian	ܡܪܩܝܢܘܣ	http://syriaca.org/person/3024
Marcus the Younger	ܡܪܩܘܣ	http://syriaca.org/person/1872
Mari	ܡܐܪܝ	http://syriaca.org/person/1876
Mari	[Syriac Not Available]	http://syriaca.org/person/1360
Mari	ܡܐܪܝ	http://syriaca.org/person/1358
Marina	ܡܪܝܢܐ	http://syriaca.org/person/1365
Mari of Beth Sahde	[Syriac Not Available]	http://syriaca.org/person/1359
Mark	[Syriac Not Available]	http://syriaca.org/person/1355
Mark of Tarmaqa	ܡܪܩܘܣ	http://syriaca.org/person/1356
Mark the Evangelist	ܡܐܪܩܘܣ	http://syriaca.org/person/1871
Mark the Merchant	[Syriac Not Available]	http://syriaca.org/person/1873
Mark the Monk	ܡܪܩܘܣ	http://syriaca.org/person/1869
Maron	ܡܪܘܢ	http://syriaca.org/person/1885
Maron	[Syriac Not Available]	http://syriaca.org/person/1366
Maron	ܡܪܘܢ	http://syriaca.org/person/621
Maron of ʿAyn Ward	[Syriac Not Available]	http://syriaca.org/person/1367
Maroutha	ܡܪܘܬ	http://syriaca.org/person/1886
Martha	[Syriac Not Available]	http://syriaca.org/person/1369
Martha	[Syriac Not Available]	http://syriaca.org/person/1371
Martha	ܡܪܬܐ	http://syriaca.org/person/1370
Martianus	ܛܢܝܢܐ	http://syriaca.org/person/1887
Martyrs of Beth Garmai	[Syriac Not Available]	http://syriaca.org/person/1902
Martyrs of Egypt	[Syriac Not Available]	http://syriaca.org/person/1895
Martyrs of Palestine	[Syriac Not Available]	http://syriaca.org/person/1899
Martyrs of Persia	[Syriac Not Available]	http://syriaca.org/person/1900
Martyrs of Tur Berʿain	[Syriac Not Available]	http://syriaca.org/person/1905
Marutha of Maypherqat	ܡܪܘܬܐ ܕܡܝܦܪܩܛ	http://syriaca.org/person/25
Maruthaof Tagrit	ܡܪܘܬܐ ܕܬܓܪܝܬ	http://syriaca.org/person/93
Mary	ܡܪܝܡ	http://syriaca.org/person/1880
Mary	[Syriac Not Available]	http://syriaca.org/person/1361
Mary	ܡܐܪܝܐ	http://syriaca.org/person/1878
Mary	[Syriac Not Available]	http://syriaca.org/person/1362
Mary	[Syriac Not Available]	http://syriaca.org/person/1877
Mary	ܡܐܪܝܐ	http://syriaca.org/person/3021
Mary, Mother of God	ܡܪܝܡ	http://syriaca.org/person/624
Mary Magdalene	ܡܪܝܡ ܡܓܕܠܝܬܐ	http://syriaca.org/person/1884
Mary of Egypt	ܡܐܪܝܐ ܐܓܝܦܛܝܬܐ	http://syriaca.org/person/1882
Mary of Scetis	[Syriac Not Available]	http://syriaca.org/person/1364
Mary of Tell Salila	[Syriac Not Available]	http://syriaca.org/person/1363
Mary the Mourner	ܡܪܝܡ ܐܒܝܠܬܐ	http://syriaca.org/person/1881
Mary the Sinful Woman	ܡܪܝܡ ܚܛܝܬܐ	http://syriaca.org/person/1883
Mattai	[Syriac Not Available]	http://syriaca.org/person/1372
Matthew the Mountaineer	[Syriac Not Available]	http://syriaca.org/person/1908
Matthias	ܡܬܝ	http://syriaca.org/person/1909
Maura	[Syriac Not Available]	http://syriaca.org/person/1373
Maurice, Roman emperor	ܡܘܪܝܩܐ	http://syriaca.org/person/1910
Maurice the Martyr	[Syriac Not Available]	http://syriaca.org/person/1911
Maximus	ܡܟܣܝܡܐܘܣ	http://syriaca.org/person/1913
Maximus	ܡܟܣܝܡܐܘܣ	http://syriaca.org/person/1912
Maximus	ܡܟܣܝܡܘܣ	http://syriaca.org/person/3013
Maximus the Confessor	ܡܟܣܝܡܘܣ	http://syriaca.org/person/628
Maʿin	ܡܥܝܢ	http://syriaca.org/person/1349
Maʿna	ܡܥܢܐ	http://syriaca.org/person/1354
Meharnarsa	ܡܗܪܢܪܣܐ	http://syriaca.org/person/1914
Melania	ܡܠܢܝܐ	http://syriaca.org/person/1915
Melania the Elder	ܡܠܢܝܐ ܪܒܬܐ	http://syriaca.org/person/1916
Melania the Younger	ܡܠܢܝܐ ܙܥܘܪܬܐ	http://syriaca.org/person/1917
Meletius of Antioch	ܡܝܠܝܛܘܣ	http://syriaca.org/person/1919
Menas	ܡܐܝܢܐ	http://syriaca.org/person/1920
Metkarkana the Vagabond	[Syriac Not Available]	http://syriaca.org/person/1375
Metrodore	ܡܛܪܕܘܪܐ	http://syriaca.org/person/3023
Micah	ܡܝܟܐ	http://syriaca.org/person/1379
Michael	[Syriac Not Available]	http://syriaca.org/person/1378
Michael Badoqa	ܡܝܟܐܝܠ	http://syriaca.org/person/637
Michael of Amida	ܡܝܟܐܝܠ	http://syriaca.org/person/1921
Michael of Tarʿil	[Syriac Not Available]	http://syriaca.org/person/1377
Michael the Companion of Angels	[Syriac Not Available]	http://syriaca.org/person/1376
Mihrnarsai	[Syriac Not Available]	http://syriaca.org/person/1381
Mihrsapor	ܡܗܪܫܒܘܪ	http://syriaca.org/person/1382
Milesbishop of Sus	ܡܝܠܣ	http://syriaca.org/person/8
Miles of Tel Hesh	ܡܝܠܣ	http://syriaca.org/person/1384
Milida	[Syriac Not Available]	http://syriaca.org/person/1923
The Mime Glaukos and Companions	[Syriac Not Available]	http://syriaca.org/person/1925
Monastery of the women	ܦܟܘܡܝܣ	http://syriaca.org/person/1939
Monks of Amida	[Syriac Not Available]	http://syriaca.org/person/1934
Monks of Sinai	[Syriac Not Available]	http://syriaca.org/person/1936
The Monks of the Monastery of Mar Sabrishoʿ of Beth Qoqa	[Syriac Not	http://syriaca.org/person/1659
Moses of Beth Sayyare	ܡܘܫܐ ܕܥܘܡܪܐ ܕܒܝܬ ܨܝܪܐ.	http://syriaca.org/person/1385
Moses the Black	[Syriac Not Available]	http://syriaca.org/person/1386
Moses the Black	[Syriac Not Available]	http://syriaca.org/person/1386
Moses the Indian	ܡܘܫܐ ܗܢܕܘܝܐ	http://syriaca.org/person/1938
Mqadashta	[Syriac Not Available]	http://syriaca.org/person/1388
Munyatos	[Syriac Not Available]	http://syriaca.org/person/1390
