	ܩܫܝܫ	http://syriaca.org/person/2032
All saints	[Syriac Not Available]	http://syriaca.org/person/2058
All the just	[Syriac Not Available]	http://syriaca.org/person/2168
Alosis	ܐܠܘܣܣ	http://syriaca.org/person/1571
Alphaeus	[Syriac Not Available]	http://syriaca.org/person/1125
Amai	[Syriac Not Available]	http://syriaca.org/person/1126
Amantalida	ܐܡܢܛܠܝܕܐ	http://syriaca.org/person/1576
ʿAmmi of Hah	[Syriac Not Available]	http://syriaca.org/person/1127
Ammonios	ܐܡܘܢܝܣ	http://syriaca.org/person/1577
Ammonios	ܐܡܘܢܝܣ	http://syriaca.org/person/1578
Amoun	ܐܡܘܢ	http://syriaca.org/person/1579
Amoun	ܐܡܘܢ	http://syriaca.org/person/1580
Anahid	ܐܢܗܝܕ	http://syriaca.org/person/1129
Ananias	ܚܢܢܝܐ	http://syriaca.org/person/1582
Ananias	[Syriac Not Available]	http://syriaca.org/person/1583
Ananias	ܚܢܢܝܐ	http://syriaca.org/person/1581
Ananias of Arbela	ܚܢܢܝܐ	http://syriaca.org/person/1262
Anastasia	[Syriac Not Available]	http://syriaca.org/person/1584
Anastasius the Persian	[Syriac Not Available]	http://syriaca.org/person/1130
Andrew	ܐܢܕܪܝܣ	http://syriaca.org/person/1586
Andrew	[Syriac Not Available]	http://syriaca.org/person/1585
Andromedes of Jerusalem	ܐܢܕܪܘܡܝܕܐ	http://syriaca.org/person/1587
Andronicus	ܐܢܕܪܘܢܝܩܘܣ	http://syriaca.org/person/1589
Andronicus	ܐܢܕܪܘܢܝܩܘܣ	http://syriaca.org/person/1588
Anempodistus	[Syriac Not Available]	http://syriaca.org/person/1131
Anna	ܚܢܐ	http://syriaca.org/person/1590
Anonymi 1532	ܕܝܪ̈ܝܐ ܕܒܢܛܝܪܐ	http://syriaca.org/person/1532
Anonymi 1652	ܐܚܐ ܬܪܝܢ ܥܠܝܡܐ	http://syriaca.org/person/1652
Anonymi 1677	[Syriac Not Available]	http://syriaca.org/person/1677
Anonymi 1742	[Syriac Not Available]	http://syriaca.org/person/1742
Anonymi 1743	ܐܚܐ ܕܒܟܣܘܢܪܟܘܣ	http://syriaca.org/person/1743
Anonymi 1745	ܬܪ̈ܝܢ ܐܚ̈ܐ ܕܒܕܝܪܐ ܕܒܝܬ ܦܪ̈ܣܝܐ	http://syriaca.org/person/1745
Anonymi 1892	[Syriac Not Available]	http://syriaca.org/person/1892
Anonymi 1896	ܣܗ̈ܕܐ ܕܐܪܥܐ ܕܡܕܢܚܐ	http://syriaca.org/person/1896
Anonymi 1897	ܣܗ̈ܕܐ ܕܟܪܟܐ ܕܒܝܬ ܣܠܘܟ	http://syriaca.org/person/1897
Anonymi 1903	ܣܗ̈ܕܐ ܕܒܝܬ ܗܘ̈ܙܝܐ	http://syriaca.org/person/1903
Anonymi 1907	ܣܗ̈ܕܐ ܚܡܝܪ̈ܝܐ	http://syriaca.org/person/1907
Anonymi 1935	ܕܝܪ̈ܝܐ ܕܒܢܛܝܪܐ	http://syriaca.org/person/1935
Anonymi 1995	ܬܪܝܢ ܐܒ̈ܗܬܐ ܕܫܠܝ̈ܚܝܢ ܗܘܘ	http://syriaca.org/person/1995
Anonymi 2141	ܒܬܘܠܬܐ ܘܡܓܝܣܛܪܝܢܘܣ	http://syriaca.org/person/2141
Anonymi 3139	[Syriac Not Available]	http://syriaca.org/person/3139
Anonymous 1678	ܡܫܡܫܢܐ ܚܕ	http://syriaca.org/person/1678
Anonymous 1732	ܐܦܣܩܘܦܐ ܕܢܦܠ ܘܩܡ	http://syriaca.org/person/1732
Anonymous 1741	ܐܚܐ ܚܕ ܫܒܒܗ ܦܘܡܢ	http://syriaca.org/person/1741
Anonymous 1775	[Syriac Not Available]	http://syriaca.org/person/1775
Anonymous 1776	[Syriac Not Available]	http://syriaca.org/person/1776
Anonymous 1777	[Syriac Not Available]	http://syriaca.org/person/1777
Anonymous 1777	[Syriac Not Available]	http://syriaca.org/person/1777
Anonymous 1778	[Syriac Not Available]	http://syriaca.org/person/1778
Anonymous 1827	[Syriac Not Available]	http://syriaca.org/person/1827
Anonymous 1828	[Syriac Not Available]	http://syriaca.org/person/1828
Anonymous 1828	[Syriac Not Available]	http://syriaca.org/person/1828
Anonymous 1874	[Syriac Not Available]	http://syriaca.org/person/1874
Anonymous 1924	[Syriac Not Available]	http://syriaca.org/person/1924
Anonymous 1926	[Syriac Not Available]	http://syriaca.org/person/1926
Anonymous 1927	[Syriac Not Available]	http://syriaca.org/person/1927
Anonymous 1928	[Syriac Not Available]	http://syriaca.org/person/1928
Anonymous 1929	[Syriac Not Available]	http://syriaca.org/person/1929
Anonymous 1930	[Syriac Not Available]	http://syriaca.org/person/1930
Anonymous 1931	[Syriac Not Available]	http://syriaca.org/person/1931
Anonymous 1932	[Syriac Not Available]	http://syriaca.org/person/1932
Anonymous 1988	ܡܣܟܢܐ	http://syriaca.org/person/1988
Anonymous 2055	ܐܢܫ ܐܚܪܝܢܐ ܩܕܝܫܐ	http://syriaca.org/person/2055
Anonymous 2088	ܝܚܝܕܝܐ	http://syriaca.org/person/2088
Anonymous 2134	ܐܪܡܠܬܐ ܕܐܘܪܫܠܡ	http://syriaca.org/person/2134
Anonymous 2137	ܐܢܫ ܡܢ ܣܒܐ	http://syriaca.org/person/2137
Anonymous 2138	ܣܒܐ ܚܕ ܕܒܐܣܩܝܛܝ	http://syriaca.org/person/2138
Anonymous 2139	ܣܒܐ ܚܕ ܕܫܠܝܚܐ	http://syriaca.org/person/2139
Anonymous 2140	ܒܬܘܠܬܐ ܚܕܐ	http://syriaca.org/person/2140
Anonymous 2143	ܒܬܘܠܬܐ ܚܕܐ	http://syriaca.org/person/2143
Anonymous 2144	ܒܬܘܠܬܐ ܚܕܐ	http://syriaca.org/person/2144
Anonymous 2145	ܒܬܘܠܐ	http://syriaca.org/person/2145
Anonymous 2146	ܒܬܘܠܬܐ ܕܩܣܪܝܐ ܒܦܠܣܛܝܢܐ	http://syriaca.org/person/2146
Anonymous 2150	[Syriac Not Available]	http://syriaca.org/person/2150
Anonymous 3142	ܐܢܬܬܗ ܕܗܪܘܢܝܘܢ	http://syriaca.org/person/3142
Anonymous 3152	ܐܓܦܛܝܐ ܚܕ	http://syriaca.org/person/3152
Anonymous Martyr	[Syriac Not Available]	http://syriaca.org/person/1888
Anonymous Saint	[Syriac Not Available]	http://syriaca.org/person/2052
Anthia	ܐܢܬܝܐ	http://syriaca.org/person/1591
Anthimus	ܐܢܬܝܡܣ	http://syriaca.org/person/1592
Anthony the General	ܐܢܛܘܢܝܢܘܣ ܐܣܛܪܛܠܛܝܣ	http://syriaca.org/person/1596
Anthony the Qurayshite	[Syriac Not Available]	http://syriaca.org/person/1132
Antigone	ܐܢܛܝܓܘܢܘܣ	http://syriaca.org/person/1593
Antoninus	ܐܢܛܘܢܝܢܘܣ	http://syriaca.org/person/1595
Apalin	ܐܦܠܝܢ	http://syriaca.org/person/1597
Aphnimaran	ܐܦܝܡܪܢ	http://syriaca.org/person/883
Aphrahat	ܐܦܪܗܛ	http://syriaca.org/person/10
Aphtonius	[Syriac Not Available]	http://syriaca.org/person/1133
Apollo	ܐܦܘܠܘ	http://syriaca.org/person/1598
Apollo	ܐܦܠܘ	http://syriaca.org/person/1599
Apollo	ܐܦܠܘܢ	http://syriaca.org/person/1600
Apollonios	ܐܦܘܠܘܢܝܣ	http://syriaca.org/person/1602
Apollonios	ܐܦܠܘܢܝܘܣ	http://syriaca.org/person/1603
Apollonius	[Syriac Not Available]	http://syriaca.org/person/1134
